Airport_Name,Most_Frequent_Reason,Number_Of_Cancellations
"Bemidji, MN: Bemidji Regional",Weather,3
"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",Weather,3
"Beaumont/Port Arthur, TX: Jack Brooks Regional",Weather,3
"Reno, NV: Reno/Tahoe International",Weather,3
"Reno, NV: Reno/Tahoe International",Carrier,3
"Tulsa, OK: Tulsa International","National Air System",3
"Lansing, MI: Capital Region International",Weather,2
"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",Weather,2
"Binghamton, NY: Greater Binghamton/Edwin A. Link Field","National Air System",2
"Fresno, CA: Fresno Yosemite International",Weather,2
"Bethel, AK: Bethel Airport",Weather,2
"Sioux Falls, SD: Joe Foss Field",Carrier,2
"Islip, NY: Long Island MacArthur",Carrier,2
"Columbus, OH: Rickenbacker International","National Air System",2
"Grand Junction, CO: Grand Junction Regional",Weather,2
"Chattanooga, TN: Lovell Field",Carrier,2
"Hilo, HI: Hilo International",Carrier,2
"El Paso, TX: El Paso International","National Air System",2
"Brownsville, TX: Brownsville South Padre Island International","National Air System",2
"Lexington, KY: Blue Grass",Weather,2
"Charleston/Dunbar, WV: Yeager",Weather,2
"Brownsville, TX: Brownsville South Padre Island International",Weather,2
"Chattanooga, TN: Lovell Field",Weather,2
"Melbourne, FL: Melbourne International",Weather,2
"Midland/Odessa, TX: Midland International Air and Space Port",Weather,2
"Waco, TX: Waco Regional",Weather,2
"Midland/Odessa, TX: Midland International Air and Space Port",Carrier,2
"Long Beach, CA: Long Beach Airport","National Air System",2
"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field","National Air System",2
"Lexington, KY: Blue Grass","National Air System",2
"Jacksonville/Camp Lejeune, NC: Albert J Ellis",Weather,2
"Shreveport, LA: Shreveport Regional",Weather,2
"Texarkana, AR: Texarkana Regional-Webb Field",Weather,2
"San Angelo, TX: San Angelo Regional/Mathis Field",Weather,2
"Bakersfield, CA: Meadows Field",Weather,1
"Juneau, AK: Juneau International",Weather,1
"Dillingham, AK: Dillingham Airport",Weather,1
"Fargo, ND: Hector International","National Air System",1
"Fargo, ND: Hector International",Carrier,1
"Juneau, AK: Juneau International",Carrier,1
"Bismarck/Mandan, ND: Bismarck Municipal",Carrier,1
"Boise, ID: Boise Air Terminal",Carrier,1
